box,slot,mouse_num,organ,stain,patho assigned?,definitive,NED <150 d,TNP,notes,Category 1,Category 2,aod,has_scan,scan box,sb slot,cassette position,confirm can/should scan,not scanned reason,renamed,resultant geno,exclude,coh,gnotes.2,tumor1 ,t1 size (mm2),Annotated mrxs?,grouping 2,tumor2,t2 size (mm2),grouping,Sheri Notes,gnotes.1,1st note date (G),2nd note,note,box_label,blue,cyan,yellow,orange,green,black,pink,send for RNA?,hypercellular,necrosis,Pseudopalisading quality,PPN,glomeruloid mvp,whorls,high N/C,marked pleomorphism,pleomorphic/myxoid,Super high MF,Elevated MF,abnormal mitoses,rosenthall-ish fibers,strong rosettes,weak rosettes,entrapped neurons,diffuse HC,foamy cytoplams,giant cells,fibrillary appearance,B-type,lipo accumulation,hylenized,pomegranate/structural,adenoid,lymphocyte infiltration,ned,Grade (H/L),location
NFG03,046,23525,B,HE,,0,,,,3.1,,147,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"slightly larger B-type areas. Areas with ""lipo"" accumulation. Diffuse hypercellularity with weakly formed rosettes/entrapped neurons. ",,,,,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,032,23526,B,HE,,1,,,,1.2.NOS,,74,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"diffuse areas of hypercellular, with areas of lipo. EN plus psuedo-rosette areas. ",ts,,,,,,,,Low-mid grade,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,1,,1,,1,,,1,,,,,1,1,,,,,,1,,,,1,,,,,1,,,,,,,
NFG06,033,23526,B,KI67,,1,,,,,,74,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Confirms low-mid grade with mostly no elevated index. 2 small areas with elevated index,,,,,,,,,Confirms low-mid grade,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,034,23526,B,PERK,,1,,,,,,74,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,some small areas of diffuse positivity. ,,,,,,,,,NA,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,049,23527,B,HE,1,1,,,,3.2,,95,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Areas of regression; areas with lipo. Plus hypercellular, myxoid morphology a bit similar to giant cell GBM but lower-grade appearing. Also pseudorosette structures. ",1.08,3,,,,,"mid-grade, not quite fully-formed GBM. No PPN","low grade with rosette morphology, similar to 23298, but slightly larger. ","Pseudorosettes. Mid grade, grade 3. ",9/13,,*,Nf-1 N-TVA original H&E 22841-25084,1,,1,,,,,,1,1,1,,,,1,,1,,,,,,1,1,1,,,,,,,,,,,,
NFG06,095,23527,B,PERK,,1,,,,,,95,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"some areas with elevated perk activity. One areas of eveident tumor growth, with many perk-elevated cells. Mostly diffuse positivity in isolated areas. ",,,,,,,,,NA,9/13,,,nf1 glioma ki67 perk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,085,23527,B,PTEN,,1,,,,,,95,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Several areas with KO pten, snapped. Areas are of varying histology, tumors appear mostly low grade. ",,,,,,,,,NA,9/13,,,nf1 glioma serial H&E unstained + pten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,050,23528,B,HE,,0,,,,5.N? Maybe diffuse,,110,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Several small tumor outside brain. Cells with large stroma and no nucleus, in cloudy purple color (snapped). Additonal growths similar to B. ",ts,,, ,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
NFG03,088,25025,B,HE,1,1,,,,3.4.G,,105,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Multiple large lesions in brain, with classical features of GBM. Markedly hypercellular, marked NP (in some areas), plus high MF count with PPN and MVP. ",1.09,89,massive ppn inside brain,,,,"classic GBM features, grade 4",high greade with ppn and AA. *,PPN. HC. PR. Marked PM. Grade 4 glioblastoma. ,9/13,,*,Nf-1 N-TVA original H&E 22841-25084,3,,,,,,,,1,1,1,1,,,,1,,1,,,,1,,,,,,,,,,,,,,4,
NFG04,092,25025,B,PTEN,,1,,,,,,105,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Most of brain area is overtaken by Pten - cells, except in isolated areas in tumor lesion. Large infiltration into brain tissue of pten-neg cells. ",,,,,,,,,NA,9/13,,,nf1 glioma serial H&E unstained + pten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,089,25026,B,HE,,,,,,,,82,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,1,"high grade tumor outside brain. GBM features of NP, plus high MF. Also fibrillary processes. ",1.03,83,tob,,,,,,Marked PM. Likely Gliosarcoma Grade 4. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,3,,,,,,,,1,1,1,,,1,1,1,,,1,1,,,1,,,,,1,,,,,,,,3,ob
NFG03,090,25027,B,HE,1-TNP,1,,1,,2.4.NOS,2.4.NOS,77,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Large high-grade tumor outside brain. Parenchyma appears normal. ,1.03,126,tob,,,,,"Tumor growing outside brain, high MF. Similar to 26024","Hylenized vessels. PR. Brisk MF. PM, probable GBM grade 4. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,2,,,,,,,,1,1,1,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,3,ob
NFG16,22,25027,T1,HE,,1,,1,,,,77,Y,SB05,8,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,"Tumor growing outside brain, high MF. Similar to 26024","Hylenized vessels. PR. Brisk MF. PM, probable GBM grade 4. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,2,,,,,,,,1,1,1,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,3,ob
NFG16,23,25027,T2,HE,,1,,1,,,,77,Y,SB05,9,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,"Tumor growing outside brain, high MF. Similar to 26024","Hylenized vessels. PR. Brisk MF. PM, probable GBM grade 4. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,2,,,,,,,,1,1,1,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,3,ob
NFG03,091,25028,B,HE,,0,,,,3.1/2?,,110,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Areas of circumscribed regression, plus several tumors at brain interface. Adjacent parenchyma is diffusely hypercellular and vaguely rosette-like. (Snaps). Additional tissue with lipo component , and possible necrosis. Additional malformed areas in central cordoid plexis. Areas similar to B, with addition of HZ in one B area. ",,,,,,,,,Low grade infiltrating. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,092,25029,B,HE,,1,,,,2.4.NOS,,75,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,1,"massive tumor outside brain, high grade. Inside brain area looks mostly unaffected. ",1.03,69,tob,,,,,,"Hylenized Vessels. Foamy cytoplasm. Piloid features. Astrocytic. BMF. Grade 4, likely diffuse midline glioma",9/13,,,Nf-1 N-TVA original H&E 22841-25084,2,,,,,,,,1,1,1,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,3,ob
NFG03,093,25031,B,HE,,,,,,,,77,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,1,Evidence of necrosis and hyperchromic rosettes. Blood accumulation. Elevated and abnormal mitoses.  Have yet to see any other samples similar. Also lipo area. ,unq,,massive interesting tumor areas inside/outside brain.,,,,,,"Pseudopalisades. Well-circumscribed. Likley grade 3 possible 4. Granules, brisk MF. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,3,,,,,,,,1,1,1,,,1,1,,1,,,,,1,,,,,,,1,,,,,,,,
NFG03,094,25033,B,HE,,0,1,,,NED?,,84,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"similar to previous samples with lipo, diffuse hypercellularity. ",,,,,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,095,25034,B,HE,,,,,,,,82,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,xc,Possibly abnormal mitoses? See last image. Area of lipo with tissue regression.  B-type area. Diffuse hypercelluarlity and infiltration. ,,,,,,,,,low grade diffuse. Scattered MF,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG14,035,25501,B,HE,,1,1,1,,NED in brain?,2.4.NOS,125,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"B lesions, plus glial cells in rosette-like structures/entrapped neurons. ",,,,,,,,,"probable diffuse, low-grade",9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,30,25501,T,HE,,1,,1,,3.4.G,,125,Y,SB05,16,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"B lesions, plus glial cells in rosette-like structures/entrapped neurons. ",,,,,,,,,"probable diffuse, low-grade",9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,041,25503,B,HE,1,1,,,,1.2.NOS,,91,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Myxoid quality. Pilocytic features. Giant cell features. Fibrillary processes. Lipo features. Areas of early pseudorosette formation and EN. Possible necrosis? Check images to confirm. Elseware diffuse hypercellularity. ,ts,,super interesting contrast between likely normal brain parencyma and diffusely hypercellular areas,,,,,,see ki67 grade below,9/20,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,1,,,1,,have patho look,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
NFG06,042,25503,B,KI67,,1,,,,,,91,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"mildly elevated index throughout brain. In areas with more clearly defined tumors (similar to B), plus the tumor cells on edge of brain, slightly more elevated. ",,,,,,,,,low-mid grade,9/20,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,043,25503,B,PERK,,1,,,,,,91,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"elevated spots of cells, surrounding necrosis-like areas",,,,,,,,,NA,9/20,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG14,037,25504,B,HE,1,1,,,,2.4.NOS,,60,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,some EN. Diffuse hypercellular. pilo/lipo area. Massive tumor growing outside brain. ,ts,,alll diffuse. massive tumor outside,,,,"1 area B, large cells. Unique?",,"some EN. Diffuse, low-grade",9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see T,ob
NFG14,039,25504,SPT,HE,,1,,,,,,60,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG14,038,25504,T1,HE,1,1,,,,,,60,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"massive grade 4 tumor with GBM features. Brisk MF, nucelar pleomorphism. No PPN. ",1.03,130,,,,,,,Whorls. HC. Brisk MF. Grade 4. Astrocytic morphology. NP. ,9/20,10/25,,NF-1 N-TVA original H&E 25085-26280,1,,,,,,,,1,1,1,,,1,,,1,1,,1,,,1,,,,,1,,,,,,,,3,ob
NFG14,040,25505,B,HE,,x,,,,fd - exclude from hist. analysis,,91,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Found dead, so may need to exclude from grouping. Perinuclear satelletosis simiar to oligodendroglioma. Lipo area. Diffuse hypercellularity. ",,,,,,,,,"NP, maybe grade 2, diffuse",9/20,,fd,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG14,067,26022,B,HE,,1,,1,,3.1? Plus calcifications in brain. ,,69,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Calcfications, area similar to B. Lipo areas. Remaining of brain with diffuse infiltrations, EN and elevated MFs, beginning of pseudo-rosettes. ",ts,,,,,,,,"Calcifications, grade 2",9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,
NFG16,48,26022,T,HE,,1,,1,,2.4.NOS,,69,Y,SB05,34,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"Calcfications, area similar to B. Lipo areas. Remaining of brain with diffuse infiltrations, EN and elevated MFs, beginning of pseudo-rosettes. ",ts,,,,,,,,"Calcifications, grade 2",9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,
NFG14,068,26023,B,HE,,0,,1,,NED in brain,,108,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Some possible entrapped neurons, glial cells with multiple punctuated chromatin. Lipomatous quality. Overall low-grade appearing. No obvious type B accumulation. Snapped.",,,,,,,,,Grade 2,9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,49,26023,T,HE,,0,,1,,,,108,Y,SB05,35,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,Grade 2,9/20,,,NF-1 N-TVA original H&E 25085-26280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG14,069,26024,B,HE,1,1,,,,2.4.NOS,,54,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Massive tumor surrounding brain with GBM features of NP, giant cells, and rosettes. Some infiltration in main tissue, with hypercellularity and pleomorphism.  Grainy mix, lipo. ",1.03,160,mtob,,,,D,"Tumor-growing outside brain, high mitotic count",HZ of vessels.,9/20,10/24,h,NF-1 N-TVA original H&E 25085-26280,1,,,,,,,,1,1,1,,,1,1,,1,,1,1,,,,,,,,1,,,,,,,,,ob
NFG04,054,26305,B,HE,,0,,1,,3.1? in brain,,78,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"small area of rosette-like accumulations and hyperchromic cells, with some MFs.  Sarcomatous component. ",,,,,,,,,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,52,26305,T,HE,,0,,1,,,,78,Y,SB05,38,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,055,26306,B,HE,,0,1,,,NED?,,115,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"1 area with diffuse HC, beginnings of rosette structures. Plus area with lipomatous infiltration (imaged). Plus small areas similar to B (hypercellular areas around intersecting edges of brain). Difficult to greade without additional stains, but no higher than grade 2. ",,,,,,,,,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,056,26307,B,HE,,0,,1,,3.2? in brain,,51,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,B-type Plus additional areas of pseudorosettes and pseudo-linear arrangements. Entrapped neurons. ,,,,,,,,NED,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,53,26307,T,HE,,0,,1,,,,51,Y,SB05,39,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,NED,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,057,26308,B,HE,,0,,,,3.1/2?,,85,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Areas similar to B. Plus large areas of diffuse positivity, with rosette-esque accumulations, plus EN. Areas with lipo accumulation. ",,,,,,,,,Grade 2,9/21,,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,058,26309,B,HE,,0,,,,3.2?,,68,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Area of lipo. Plus area of B and pseudo-rosettes. Additional area with hypercellularity, hyperchromasia and cells in quasi-linear formations. ENs/ ",ts,,again premature death without obvious large tumor. May be good to send a large area. ,,,,,,Grade 2?,9/21,,,Nf1 N-tva original H&E 26281-26311,,,5,,3,1,,,,,,,,,,1,,,,,,,1,1,1,,1,,1,,,,,,,,
NFG04,059,26310,B,HE,,0,,1,,3.2?,,51,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,B-type Plus additional areas of pseudorosettes. Entrapped neurons. Additional ares with very hyperchromatic accumulation. ,dif,,"b-type area, may be large enoguh to prifle. many interesting features, diffuse mostly. ",have patho look,,,B,,Grade 2?,9/21,10/25,,Nf1 N-tva original H&E 26281-26311,,2,3,,3,2,,,1,1,1,,,,,,1,,,,,,1,1,1,,,,1,,,,,,,,
NFG16,54,26310,T,HE,,0,,1,,,,51,Y,SB05,40,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,have patho look,,,B,,Grade 2?,9/21,10/25,,Nf1 N-tva original H&E 26281-26311,,2,3,,3,2,,,1,1,1,,,,,,1,,,,,,1,1,1,,,,1,,,,,,,,
NFG04,060,26311,B,HE,,0,,1,,3.1/2 in brain,,51,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,B-type Plus additional areas of pseudorosettes. Entrapped neurons. Additional ares with very hyperchromatic accumulation. ,,,,,,,B/C,,Grade 2?,9/21,10/25,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,55,26311,T,HE,,0,,1,,,,51,Y,SB05,41,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,B/C,,Grade 2?,9/21,10/25,,Nf1 N-tva original H&E 26281-26311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG01,001,28525,B,HE,,1,,,,5.N,,45,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Massive areas of recession and possible from necrosis, or from edema. Piloid features, irregular nuceli. ",uc,,large necrotic areas. ,,,,A,NED,"Granules, PA. Large recessed areas. Grade?",9/26,10/25,,NF1 Glioma,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
NFG15,041,28526,B,HE,,0,,,,re-check?,,114,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Possible calcifications. Accumulation of cell ssimilar to B again. Limpomatous/necrossis (not perfectly round, edges not clean as in lipos), stretched-out-looking tissue (snapped), similar to what I've seen in some other samples. Could be used for a possible grouping. Additonal necrotic? areas. Snapped. Remaining brain with appearance of diffusely infiltrating cells. ",,,,,,,,,Probable PA. Grade ?,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,040,28526,LU,HE,,0,,,,lung lesion. ,,114,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,028,28526,T1,HE,,0,,,,,,114,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Myxoi, very likely HGAP. Many rosenthal fibers and eoisiniphillic granules. Nuclear pleomorphic. Many whorls. Some areas with giant cells. Similar in character to GBM, but MF is only mildly elevated. Probable grade 3. Necrosis. Some areas very hemotoxiphillic, Snap. Overall very interesting. ",,,,,,,,,"Granule, areas of circumscribed whorls. ",9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,035,28528,B,HE,1,1,,,,3.4.GSC,,130,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"microvascular proliferation and large diffuse and concentrated tumor cells inside brain. GBM features with high MFs. Necrosis, marked nuclear pleomorphism, whorls. MFs. Hypercellular, hyperchromic. ",1.10,18,possible mengimoma-looking..,,1.10,3,,,"Well-circumscribed areas. Possible MVP, Marked NP. Foamy, some areas with high-elevated MF. ",9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",5,,,,,,,,1,1,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,4,
NFG15,034,28528,LI,HE,,1,,,,,,130,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,High grade with Pilocytic features. ***probably just looking at liver tissue***,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,033,28528,LU,HE,,1,,,,possible lung lesion,,130,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,023,28529,B,HE,1,1,,,,3.3,,107,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"3 large lesions, with myxoid quality, and NP. Large cells with multiple nuclei. MVP. Entrapped neurons. Rosette-like quality in some places, very high MF. Some areas generally appears similar to GBM without PPN. May be its own cohort subtype. ",1.08,15,great intracranial tumor. ,,1.08,1.4,,,"HC. Well-circumscribed. Grade 4 or 3. MVP, marked NP and MF. ",9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",2,1,,,,1,,,1,,1,,,1,,,1,,1,,,,1,1,,,,,,,,,,,,2,
NFG15,022,28529,LI,HE,,1,,,,,,107,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG15,021,28529,LU,HE,,1,,,,lung lesion?,,107,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/26,,nf1,"NF1 All Alleles Cas9 f/f ""AA""/ NF1 Glioma ""NF1 Project"" ATRX f/f NF1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG01,002,28530,B,HE,,0,,,,3.1/2?,,94,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Diffusely hypercellular, but EN harder to pinpoint. Cells in diffuse bundles. Areas similar to B with appearance of slightly higher progression. Likely grade 2. ",,,,,,,,,Probable grade 2,9/26,,,NF1 Glioma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG01,003,28531,B,HE,,0,,,,3.1?,,94,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Lipo quality in large part of brain. Remaining brain is consistently moderate diffusely hypercellular with elevated MF and apoptotic bodies. One small area similar to B. ,,,,,,,,,PA?,9/26,,,NF1 Glioma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,003,22844,B,HE,,0,,,,3.1/2?,,112,,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,"Large areas of ""lipo"", areas of recession. 1 areas with aggregates of small, hyperchromic cells. ",,,,,,,80,,grade 2-3. Many areas of AA. Beginnings of rosette formation on distal asect of proximal brain slide. Areas of beginning of PPN in center slice. small angiogenesis. Some Perivascular aggregations. Entrapped neurons? Many cells with high N/C ratio. Areas of necrosis. Small area of adenoid morphology,9/11,10/23/2023,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,004,22846,B,HE,,1,,,,4.2.D,,102,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,"Diffusely hypercellular. Neuron entrapement, pseudorosettes. Addition B-type areas.  Tumor outside brain one area with giant cells similar to prevously seen. Additional area with myxoid quality, and areas of light, foamy cytoplasm and accumulations of hyperchromic cells. ",2.01,1.4,,,,,71,,"Large grade 3? tumor outside brain. Large cell bodies in some aspects looks unique bs. other samples. Elseware, AA, invasding cells. Grade 2. ",9/11,10/23/2023,,Nf-1 N-TVA original H&E 22841-25084,,1,,1,1,1,,,,,1,,,,1,,1,,,,1,,1,,1,1,1,,,,,,,,,,
NFG03,005,22847,B,HE,,0,,,,3.1/2?,,116,,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,Possible area of PPN? Diffusely hypercellular wtih entrapped neurons. Areas of B-type.  ,,,,,,,82,,"At least 1 small area of PN on proximal brain slice, many AA. Grade 2-tumors small in thin layers on perimeter of brain. ",9/11,10/23/2023,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,031,23397,B,HE,1,1,,,,1.2.NOS,,76,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,"weakly formed rosettes and entrapment. 1 area with highly hypercellular, some giatna cells. A BIT similar to G+F-types. Fewer eloingated, organized cells and more whorls, swirls, and wavy cells. Call with W-type. Additional areas with rosenthall fibers, simialr to F-type but not quote. With many fibers of rosenthall-like appearance. Cells are very wavy and hypercellular. ",2.02,21,,,,,35,"Tumor growing outside the brain (TGOB), high grade","Pilocytic, fibrillary. Sarcomatous component. Large hypercellular tumor displacing brain. High grade, grade 4, possible gliosarcoma. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,1,,2,,,,,,1,,1,,,1,1,,,,,,1,,,,,,1,1,,,,,,,,,
NFG05,028,23397,B,NF1,,1,,,,,,76,,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,,,,,,,,,,NA,9/13,,nf1 ab 1:300,nf1 optimization ab slides tva- brains 9/1/20 ZL / nf1 big tumor slides #1 + tva -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,018,23397,B,PERK,,1,,,,,,76,,,,,,,,nf1 KO; pten KO; ink KO; atrx wt,,2,,,,,,,,,,NA,9/13,,,stained ihc slides perk and nf1 for nf1 project ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
